,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
17,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640.0,49.0,2015-02-16 15:00:57,"      half way through, a few more days inshallah, been very busy.",[],en,"['@IbnNabih1', '@abuw_ukasyah', '@polder_mujaahid', '@AbuIzzadeen2', '@MuwMedia']",[]
488,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-10-25 06:00:12,"WilayatAlAnbar
A martyrdom operation on de headquarters of de safavi army nd militia.
watch
 ","['https://t.co/qxjUMVy3Wu', 'https://t.co/K1P9XyH99T']",en,[],[]
1458,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-23 10:00:59,"PT:
Very accurate attacks. Sme advance rifles also seized by #ISIS militants. IS shd b banned f uzng sch bmbs😭. Plz ",['https://t.co/pL49dVnbFg'],en,[],['#ISIS']
1526,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-25 07:00:25,"Egypt court upholds niqab ban for lecturers 
 ",['https://t.co/KEiXOCRjJK'],en,[],[]
1502,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-24 14:00:23,RT : Shaykh Ahmad &amp; his father in prison ,['https://t.co/7qUC0EEMJz'],en,['@sparksofirhabi3'],[]
13189,Aiman al-zaishan,al_zaishan10,,,24.0,164.0,2016-04-20 22:00:52,Today's news ,['https://t.co/uaIHKB4gMq'],en,[],[]
1765,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-28 22:00:04,"Another Islamic state IED in #Sinai.
There is an IED almost every 6 hours in Sinai against the army.",[],en,[],['#Sinai']
1655,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-27 19:00:50,RT : #Syria|n opposition and #Assad's regime in the first day of #Geneva talks.. ,['https://t.co/qqKTtLo0R2'],en,['@RamiAlLolah'],"['#Syria', '#Assad', '#Geneva']"
1962,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-30 11:00:47,Centeral #Kirkuk : number of #Peshmarga killed and wounding several others in #State raid. #Iraq,[],en,[],"['#Kirkuk', '#Peshmarga', '#State', '#Iraq']"
1832,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 15:00:59,"RT : Recently died in Syria, Fight for Assad or be deported to #Afghanistan choice given to undocumented Afghans by #Iran https:/…",[],en,['@abotalut4'],"['#Afghanistan', '#Iran']"
905,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-03 05:00:55,   Just wait till you go to the grave then you will find that out.,[],en,"['@AtheistInformer', '@abuayisha28', '@NoCommiesPlease']",[]
1925,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-30 01:00:53,  may اللّٰه make it easy for u ahki &amp; free u from the hands of the kaffirs,[],en,"['@pashabakri', '@wilayah_tw']",[]
1600,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-26 18:00:29,"RT : Cleanup &amp; recovery efforts by the brothers in #IslamicState.
May Allah ta'ala bless them &amp; reward them in abundance! https://t.…",[],en,['@apb_is'],['#IslamicState']
1487,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-24 00:00:06,"#WilayatAlFallujah
Implementing hadd punishment on two senior Rafidi intelligence officers. 📷 ","['https://t.co/gslpmOvrrh', 'https://t.co/By9h8JRwgc']",en,[],['#WilayatAlFallujah']
1829,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:45,#AmaqNewsAgency Demolition of Syrian tank with anti-tank missile in Wadi'ah village west of #Kuwayris Airbase in #Aleppo's N. countryside.,[],en,[],"['#AmaqNewsAgency', '#Kuwayris', '#Aleppo']"
1402,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-21 18:00:46,"RT : بسم الله
Al-Salamualikum Fam
Umm Miskeen Is Back
Follow And Shout Out JazakAllah Khair :') ",['https://t.co/TyZItJisC1'],en,['@UkhtlnBlack'],[]
1284,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-18 16:00:51,"RT : He has said it, it war on Islam, nt terror as they used to lie ",['https://t.co/1vbsQtZNLM'],en,['@Fisebilillah9'],[]
988,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-08 20:00:00, LOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL,[],en,['@DidyouknowVS'],[]
1605,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-26 20:00:09,"Lots of Muslims can read Qur'an in Arabic but have never read it with understanding, never understood the meaning.",[],en,[],[]
13153,Salahuddin Ayubi,mobi_ayubi,"Journalist, specialize in ongoing war against terrorism.
Retweet is not endorsement.",,928.0,8222.0,2016-04-20 21:00:36,RT : #Iraq|is #ISIS &amp; non-IS (including Shiites) share the same vision about #Turkey. Turkey will face an Iraqi resistance &amp; no…,[],en,['@RamiAlLolah'],"['#Iraq', '#ISIS', '#Turkey']"
1666,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-27 21:00:09,RT : Also today #USA official said: From now on military aid will be provided to those #Syria|n rebels fight #ISIS only! https:…,[],en,['@RamiAlLolah'],"['#USA', '#Syria', '#ISIS']"
1389,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-21 04:00:31,"RT : «I will stop supporting Jihad because of my government anti radicalization program.»
Said no Jihadi ever.",[],en,['@QassamiMarwan'],[]
1410,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-22 07:00:02,"RT : No one can love or care for us as much as Allah does. To know that Allah loves us so much is such an honour, SubhanAll…",[],en,['@Alhamdhulillaah'],[]
886,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-02 06:00:02,  You need to understand that  we  don't want that Shi'a Iraqi army take ramadi because they will kill all Sunni ppl,[],en,"['@CyanideMadrid', '@BBCWorld']",[]
1882,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 21:00:44,  I'm sure it happened in Cordoue before,[],en,"['@wordsburning', '@BosnianHistory']",[]
1601,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-26 18:00:30,RT : Twitter suspended  president of the largest Muslim NGO in France  after his refusal to condemn…,[],en,"['@QassamiMarwan', '@IdrissSihamedi', '@Barakacity']",[]
1514,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-24 19:00:11,"Saudi Preacher &amp; Professor Saad al-Durihim:

Don't say Sunnis &amp; Shiites, say the people of Islam &amp; Shiites. ",['https://t.co/EtGH2bJEpf'],en,[],[]
267,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-24 14:00:53,     you judge me without proof!we wil see each other on judgement day you fool,[],en,"['@Haditha21', '@ibnu_noran8', '@etdz101010', '@WilayatHalab', '@Abu_adamm']",[]
1602,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-26 19:00:17,"RT : Abdullah bin ‘Amr (ra) :
“There will come a time when people will gather in their
mosques, and there won’t be a single be…",[],en,['@_IshfaqAhmad'],[]
1993,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-30 16:00:47,"RT : #IS fighter destroys #SAA T62 with an anti-armor guided missile in Wadi'a village, west of #Kweiris airbase.. #Syria https://t.…",[],en,['@apb_is'],"['#IS', '#SAA', '#Kweiris', '#Syria']"
1498,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-24 09:00:56,New #ISIS media release to be on air soon. ,['https://t.co/4ZsnI05o2k'],en,[],['#ISIS']
12121,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Middle of Nowhere,986.0,176.0,2016-04-12 18:00:43,RT : Belgian police&amp;media issueAnew picture of Salah Abdeslam.He suffers from inhuman sleep deprivation in Bruges Prison ht…,[],en,['@freeoursisters3'],[]
1890,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:35,"#IS claims a 7-tons of explosives SVBIED hitting Assad troops in 'Afash (near Kuweirs airport) 20+ reportedly killed
#Caliphate_News",[],en,[],"['#IS', '#Caliphate_News']"
5759,Ibni Haneefah,_IshfaqAhmad,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,اُمتِ مُسلمہ ولایت کشمیر,1520.0,12925.0,2016-02-26 14:00:56, US,[],en,['@itsmyownworld2'],[]
1814,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:30,"#WilayatDayala Al-I`zim River Project 

#Caliphate_News",['https://t.co/OdYbcMDLsR'],en,[],"['#WilayatDayala', '#Caliphate_News']"
1362,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-20 06:00:46,"RT : Unbelievably gory images coming out of Diyala, Iraq. Beheading &amp; burning ppl alive at the hands of pro-govt militias. Zero me…",[],en,['@hxhassan'],[]
1348,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 03:00:01,"#WilayatAlAnbar 
A tour of Al-Bakr neighborhood in the city of Hit. 📷  ","['https://t.co/jcRRCFtaN8', 'https://t.co/qFQzqK7gRN']",en,[],['#WilayatAlAnbar']
1552,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-25 18:00:55,  no news even 4m #ISIS offices regarding such happenings as far v knw. Dnt b a kid if sch happened tht wd b a trend,[],en,"['@RamiAlLolah', '@moataagency']",['#ISIS']
1567,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-26 05:00:14,"PT: Bc west trains troops i.e ""Hw to survive"" while #ISIS teaches ""hw to kill &amp; gets killed"" 
Simple words Faith matters in wars. Agree r nt",[],en,[],['#ISIS']
1663,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-27 20:00:11," The truth is we can avoid Hell-fire if we try, But we can't avoid the Death.",[],en,['@maisaraghereeb'],[]
1390,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-21 04:00:47,"RT : #IS regained control of Ghazal, Yani Bayan &amp; Qarah Kubri after clashes with Turkish backed rebels in north #Aleppo https:/…",[],en,['@sayed_ridha'],"['#IS', '#Aleppo']"
13491,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1740.0,5879.0,2016-04-22 13:00:18,   LOL,[],en,"['@__alfresco__', '@AbuBlock', '@WindOfVictories']",[]
1997,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-30 17:00:44,RT : #ISIS released an app for #Android devices to listen to a stream of its #BayanRadio broadcasts ,['https://t.co/kEVM7hQz4i'],en,['@siteintelgroup'],"['#ISIS', '#Android', '#BayanRadio']"
1352,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 03:00:33,"#WilayatDijlah 
🔥Control &amp; Inspection Office confiscates &amp; destroys expired food products. 📷  ","['https://t.co/FVCawtpbtJ', 'https://t.co/DxopVdsgKv']",en,[],['#WilayatDijlah']
1466,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-23 15:00:08,RT : Huge! #ISIS struck #Iraq|i army east #Ramadi with 8 VBIEDs and 10+ Inghimasi fighters loaded with explosive belts.. https:…,[],en,['@RamiAlLolah'],"['#ISIS', '#Iraq', '#Ramadi']"
14026,Al-Aswad,__alfresco__,"| Random Musings of a Pasta  Aficionado | Against Extremism | Not affiliated with Anyone, Group or Organization |",,477.0,901.0,2016-04-25 16:00:16,Blame yourself... ,['https://t.co/xfm0KOVyVG'],en,[],[]
1106,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-13 18:00:30," But they don't listen to Allah Azza'wajal, and they eat the flesh of their brothers by backbiting and being sinful.",[],en,['@maisaraghereeb'],[]
1316,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-19 19:00:44,RT : Major progress! #ISIS declares full control on #Syria|n army Commandos camp and the Radio hill in #DeirEzzor https://t.co/…,[],en,['@RamiAlLolah'],"['#ISIS', '#Syria', '#DeirEzzor']"
1394,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-21 08:00:31,RT : Tomb Express - Just to Serve You ,['https://t.co/CS9eEUyK2I'],en,['@AntiMajose'],[]
12154,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1772.0,5304.0,2016-04-13 00:00:07, ,['https://t.co/s3ZwN7yteW'],en,['@Bronson_10'],[]
127,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-09-05 02:00:51,/xGLf2TcqF5/s/ZMTR,[],en,[],[]
2177,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-31 11:00:56,"Plse.follow ♻♻♻
 
",[],en,"['@BAQIYA_FAMILYq', '@BAQIYA_FAMILYq']",[]
1720,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-28 14:00:09,RT : Back after suspension. ,['https://t.co/NeGNsJ6KEi'],en,['@abdulmatin_XIII'],[]
1705,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-28 08:00:18,"RT : Aamaq Agency:
Aftermath video of #US-led coalition airstrike on Hawijah, #IS..
Jan 26, 2016
 https://t.c…",['https://t.co/gWPiWUmSvD'],en,['@apb_is'],"['#US', '#IS']"
1441,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 22:00:04,"#WilayatTarabulus 
Carpet trade in the city of #Sirte. 📷  ","['https://t.co/DygQvCwDGJ', 'https://t.co/EXEbXMXACw']",en,[],"['#WilayatTarabulus', '#Sirte']"
